RecordID,MachineID,ProductCode,Shift,OperatorID,StartTime,EndTime,QuantityProduced,Defects,Temperature,Pressure,Status,ProcessedFlag
4006,MCH002,PRD1002,C,OP255,09:01.0,09:01.0,470,20,87.03,1.15,Completed,1
4007,MCH003,PRD1002,A,OP158,09:45.0,09:45.0,799,8,80.96,1.23,Completed,1
4008,MCH001,PRD1004,A,OP166,48:07.0,48:07.0,746,20,82.96,1.42,Completed,1
4009,MCH009,PRD1003,B,OP260,06:27.0,06:27.0,432,8,79.38,1.17,Completed,1
4010,MCH010,PRD1002,A,OP291,22:25.0,22:25.0,841,17,82.59,1.08,Completed,1
4011,MCH001,PRD1005,B,OP173,11:17.0,11:17.0,624,18,81.08,1.1,Completed,1
4012,MCH002,PRD1001,C,OP266,30:57.0,30:57.0,877,0,78.46,1.14,Completed,1
4013,MCH003,PRD1001,B,OP129,56:33.0,56:33.0,819,8,73.63,1.5,Completed,1
4014,MCH002,PRD1005,C,OP113,04:25.0,04:25.0,886,12,82.4,1.06,Completed,1
4015,MCH001,PRD1003,C,OP173,18:56.0,18:56.0,936,1,84.05,1.46,Completed,1
4016,MCH002,PRD1005,C,OP166,53:48.0,53:48.0,562,12,71.09,1.25,Completed,1
4017,MCH003,PRD1001,C,OP151,39:06.0,39:06.0,561,0,72.88,1.06,Completed,1
4018,MCH001,PRD1005,C,OP225,15:02.0,15:02.0,868,3,70.77,1.01,Completed,1
4019,MCH009,PRD1005,A,OP223,26:59.0,26:59.0,425,0,80.04,1.22,Completed,1
4020,MCH010,PRD1002,C,OP239,20:25.0,20:25.0,622,3,73.77,1.24,Completed,1
4021,MCH001,PRD1002,B,OP228,20:08.0,20:08.0,732,2,78.83,1.22,Completed,1
4022,MCH004,PRD1001,C,OP240,32:47.0,32:47.0,647,15,88.3,1.02,Completed,1
4023,MCH003,PRD1002,C,OP270,14:37.0,14:37.0,424,8,89.75,1.27,Completed,1
4024,MCH004,PRD1003,B,OP270,45:37.0,45:37.0,746,14,83.47,1.31,Completed,1
4025,MCH003,PRD1005,A,OP127,29:57.0,29:57.0,924,16,81.86,1.34,Completed,1
4026,MCH004,PRD1002,C,OP176,16:27.0,16:27.0,531,11,76.5,1.06,Completed,1
4027,MCH002,PRD1002,C,OP176,31:35.0,31:35.0,955,4,74.4,1.4,Completed,1
4028,MCH001,PRD1002,A,OP162,51:58.0,51:58.0,970,6,73.15,1.21,Completed,1
4029,MCH001,PRD1004,A,OP176,21:37.0,21:37.0,425,2,73.63,1.09,Completed,1
4030,MCH010,PRD1001,A,OP235,24:37.0,24:37.0,677,19,81.51,1.01,Completed,1
